Share,Last Traded Price,High Price,Low Price,Close,Volume,Open
GPPL,159.9,167,160.05,160.05,5.035256249,425.5
GPTINFRA,241,123,123,123,0.163968587,419.77
GRANULES,142.25,144.25,142,142,20.9352758,414.95
GRAPHITE,118.3,122,118.1,118.1,2.887966562,410
GRASIM,1166.45,1174.65,1156.85,1156.85,157.2551291,409.4
GRAVITA,71.65,74.95,70.5,70.5,1.472683835,403.51
GREAVESCOT,162.35,164.45,157.55,157.55,7.428536738,403.4
GREENFIRE,0.9,123,123,123,0.031661563,406.89
GREENLAM,642,123,123,123,0.127037948,403.1
GREENPLY,286.9,292,287.9,287.9,1.059321254,399.69
GREENPOWER,9.9,123,123,123,0.350804286,397
GRINDWELL,389.45,395.8,387.05,387.05,0.544957846,396.69
GROBTEA,342.55,123,123,123,0.036986548,387.76
GRPLTD,1650,123,123,123,0.074668704,382.47
GRUH,421.1,426,420,420,9.396429555,380.36
GSCLCEMENT,30.95,123,123,123,0.123244045,383.33
GSFC,145.35,146.25,140,140,20.37260549,386.7
GSKCONS,5346.9,5398,5257.1,5257.1,8.580582383,393
GSPL,178.35,181.85,178,178,8.660384062,391.68
GSS,25.65,123,123,123,0.023726836,392.85
GTL,17,123,123,123,0.535410115,391.45
GTLINFRA,5.4,5.45,5.3,5.3,1.5671822,389.93
GTNIND,20.15,123,123,123,0.026991305,392.51
GTNTEX,19.9,123,123,123,0.016744058,393.49
GTOFFSHORE,16.2,123,123,123,0.48778481,389.83
GUFICBIO,66.4,123,123,123,1.195868659,382.54
GUJALKALI,456.8,468.9,463.45,463.45,5.694239437,381.29
GUJAPOLLO,172.55,172.1,169.3,169.3,0.294963551,375.84
GUJFLUORO,742.65,752.9,724.5,724.5,3.404099695,372.35
GUJGASLTD,786.55,785.9,772,772,5.121045215,368.42
GUJNRECOKE,2.55,123,123,123,0.650873729,374.51
GUJNREDVR,2.05,123,123,123,0.013910353,371.02
GULFOILLUB,772.65,778,770,770,1.341004595,370.4
GULFPETRO,92.2,93.6,90.6,90.6,0.79199542,378.92
GULPOLY,89.7,92.7,88.15,88.15,0.234473557,383.98
GVKPIL,6.35,6.4,6.2,6.2,3.083423204,389.25
HANUNG,4.4,123,123,123,0.053612856,380.8
HARITASEAT,711.3,123,123,123,0.306660432,383.52
HARRMALAYA,92.85,93.95,91.5,91.5,1.686912938,386.61
HATHWAY,40.75,41.4,39.95,39.95,1.531027998,397.03
HATSUN,611.6,123,123,123,1.042993256,396.97
