Share,Last Traded Price,High Price,Low Price,Close,Volume,Open
M&M,1376.4,1402.2,1362.8,1362.8,112.2847336,276.08
M&MFIN,331.55,340.5,332.85,332.85,60.29442316,277.69
M100,19.25,123,123,123,0.038292629,270.24
M50,88.55,123,123,123,0.035334164,268.17
MAANALU,122.1,123.6,119.6,119.6,0.13631971,266.21
MADHAV,75.5,78.7,75.45,75.45,0.194510727,265.82
MADHUCON,59.2,60.4,57.55,57.55,0.467992763,263.19
MADRASFERT,26,123,123,123,0.31862802,265.04
MAGMA,127.95,129.3,123.2,123.2,1.532651557,259.78
MAGNUM,3.85,123,123,123,0.003218166,256.64
MAHABANK,35.45,123,123,123,0.947543685,255.09
MAHASTEEL,88.5,89.6,79.65,79.65,0.948779223,251.26
MAHINDCIE,246.5,248.4,242.4,242.4,2.186450601,247.47
MAHLIFE,468.25,473,462.1,462.1,2.501690793,241.85
MAHSCOOTER,2009.7,2050,2009,2009,0.526103184,240.76
MAHSEAMLES,345.7,345.7,334.85,334.85,2.919877911,241.75
MAITHANALL,484.85,498.8,480.5,480.5,2.912674055,245.45
MAJESCO,364.6,388.9,365.5,365.5,2.56721871,238.04
MALUPAPER,33.9,123,123,123,0.061352188,242.67
MALWACOTT,7.95,123,123,123,0.004104792,251.79
MANAKALUCO,6.3,123,123,123,0.014480483,249.39
MANAKCOAT,9.9,10.85,10,10,0.026819732,252.84
MANAKINDST,46,0,0,0,0.105566843,252.36
MANAKSIA,78.45,79.3,77.8,77.8,0.296183419,250.08
MANAKSTEEL,18.9,19.55,17.75,17.75,0.050003312,247.58
MANALIPETC,43.4,44.65,43.3,43.3,2.282003108,251.65
MANAPPURAM,96.95,97.35,95.3,95.3,39.44381817,246.69
MANDHANA,20.8,21.75,20.55,20.55,1.707236374,255.4
MANGALAM,193.45,194.45,186,186,1.260964777,259.85
MANGCHEFER,77.55,123,123,123,0.333906761,261.48
MANGLMCEM,362.45,369,361.1,361.1,1.492639545,259.78
MANGTIMBER,30.65,123,123,123,0.116362633,261.73
MANINDS,57.5,58.2,53.55,53.55,1.194451739,262.84
MANINFRA,57.7,59.95,57.1,57.1,1.607807365,261.01
MANPASAND,707.55,723.7,698.3,698.3,4.894670444,260.44
MANUGRAPH,60.8,62.7,60.25,60.25,0.435795398,255.89
MARALOVER,46.25,48.4,46.8,46.8,0.239382968,260.71
MARATHON,326.3,123,123,123,0.214807312,263.67
MARICO,315.3,319.9,312.9,312.9,30.28153232,260.87
MARKSANS,54.15,54.85,52.2,52.2,13.29434171,260
MARUTI,6737.75,6778.5,6711.1,6711.1,292.7561602,257.09
MASTEK,349.75,363,349.8,349.8,7.495743831,257.68
MAWANASUG,91.85,93.1,90.15,90.15,3.864721843,265.09
MAXINDIA,154.85,159.9,155.1,155.1,2.630386927,242.9
MAXVIL,98.85,100.05,97.6,97.6,6.13173752,249.88
MAYURUNIQ,397.35,403.5,392.9,392.9,0.498199769,253.18
MAZDA,342.95,123,123,123,0.086988316,248.23
MBECL,46.95,123,123,123,0.509701671,249.38
MBLINFRA,41.5,42.5,41.3,41.3,3.277794358,256.32
MCDHOLDING,43.25,123,123,123,0.306570119,258.53
MCDOWELL-N,1962.6,2203.95,1970,1970,81.34954887,256.89
MCLEODRUSS,185,187.5,183.5,183.5,12.11772692,262.48
MCX,1128.15,1137.5,1125,1125,35.77167529,250.49
MEGASOFT,21.15,123,123,123,0.410767427,251
MEGH,42.9,43.75,42.35,42.35,4.360069493,250.49
MENONBE,74.65,123,123,123,0.150376517,254.3
MEP,70.5,73.6,70.7,70.7,0.746844124,256.71
MERCATOR,47.5,48.5,46.65,46.65,11.49488425,264.12
MERCK,1084.45,1093,1072,1072,2.652135054,266.93
METALFORGE,53.8,54.8,53.6,53.6,0.454116397,270.06
METKORE,2.95,123,123,123,0.030845554,271
MFSL,643.15,659.7,639.05,639.05,39.39704354,274.58
MGL,1007.95,1014.4,997.15,997.15,15.00299782,272.16
MHRIL,472.6,479.9,466,466,1.952790938,277.69
MIC,14.05,14,13.65,13.65,1.93965483,272.25
MINDACORP,113.6,115,113,113,2.544420156,270.6
MINDAIND,497.35,509,495,495,4.015030929,261.1
MINDTECK,84.3,123,123,123,0.368967884,255.64
MINDTREE,500.65,508.95,494.35,494.35,25.14401553,255.96
MIRCELECTR,14.2,123,123,123,0.415101207,248.23
MIRZAINT,131.9,134.6,127,127,3.835752335,244.84
MMFL,637.35,643,630.05,630.05,0.374636594,251.47
MMTC,66.15,66.75,65.2,65.2,18.66080359,253.24
MOHITIND,48.7,123,123,123,0.650495286,258.29
MOIL,333.45,336.85,327.3,327.3,20.07010793,258.21
MOLDTECH,52.95,53.05,51.6,51.6,0.142982889,265.18
MOLDTKPAC,310.05,314.5,302.75,302.75,0.562992023,264.54
MONNETISPA,41.35,42.15,40.5,40.5,3.415925252,259.69
MONSANTO,2662.55,2672.75,2605.1,2605.1,4.089442,259.39
MONTECARLO,464.1,123,123,123,0.384604911,250.6
MORARJEE,54,123,123,123,0.18081291,250.08
MOREPENLAB,22.3,23.05,22.25,22.25,1.535786349,239.35
MOSERBAER,5.4,123,123,123,0.306882304,247.28
MOTHERSUMI,409.2,410.6,401.6,401.6,78.11689577,232.82
MOTILALOFS,1020,1100,1010,1010,6.286362526,241.88
MOTOGENFIN,31.25,123,123,123,0.001933519,249.5
MPHASIS,580.3,583.55,572.1,572.1,8.01195646,256.98
MPSLTD,645.15,123,123,123,0.518373801,254.7
MRF,65936.7,67371.8,65902.1,65902.1,68.93961099,255.16
MRO-TEK,50.05,123,123,123,0.267391844,263.22
MRPL,133.55,134.75,132.7,132.7,14.13301186,259.24
MSPL,13.9,123,123,123,0.027788447,251.84
MTEDUCARE,83.75,87,83.5,83.5,3.055721648,250.25
MTNL,25.1,25.4,24.55,24.55,7.409596027,243.71
MUKANDENGG,62,63.05,61.6,61.6,0.165462126,253.83
MUKANDLTD,84.2,84.85,81.7,81.7,1.612217652,253.03
MUKTAARTS,102.35,102.8,99.55,99.55,0.606089299,262.89
MUNJALAU,100.5,103.05,99.8,99.8,0.378138944,263.84
MUNJALSHOW,199.6,220,198.3,198.3,0.703820459,269.31
MURUDCERA,43.5,123,123,123,0.239610646,263.02
MUTHOOTCAP,426.6,431,424.8,424.8,0.385057787,263.25
MUTHOOTFIN,398.8,401.95,395,395,11.78922802,267.27
MVL,0.65,123,123,123,0.023372394,271.88
N100,374.14,123,123,123,0.047668739,267.99
NAGAAGRI,29.2,123,123,123,123,258.24
NAGAFERT,19.15,123,123,123,0.285262681,258.8
NAGAROIL,4.75,123,123,123,0.137522097,248.54
NAGREEKCAP,16.75,123,123,123,0.001703865,247.03
NAGREEKEXP,37.65,123,123,123,0.009965925,248.57
NAHARCAP,109.75,123,123,123,0.048652191,245.78
NAHARINDUS,136.85,139.9,135.8,135.8,1.124390478,245.28
NAHARPOLY,63.25,123,123,123,0.186859496,241.86
NAHARSPING,142.65,123,123,123,0.832072477,242.2
NAKODA,0.4,123,123,123,0.006214171,241.43
NATCOPHARM,897.8,921,907.95,907.95,25.99618719,240.44
NATHBIOGEN,214.05,123,123,123,0.672374608,239.55
NATIONALUM,67.7,68.2,67.25,67.25,16.91641174,238.2
NATNLSTEEL,26.45,123,123,123,0.048849438,234.98
NAUKRI,849.1,850,840.85,840.85,3.218210735,237.41
NAVINFLUOR,3055.5,3089.95,2994.4,2994.4,2.256465145,235.49
NAVKARCORP,215.45,221.65,216.35,216.35,2.296777547,236.6
NAVNETEDUL,164.75,166.95,164,164,2.014425302,233
NBCC,198.1,199.75,195,195,26.57356445,228.95
NBIFIN,4230,123,123,123,0.014541159,230.92
NBVENTURES,147.9,149.9,146.15,146.15,2.292516341,227.64
NCC,95.4,97.7,95.5,95.5,29.92285546,225.64
NCLIND,215.1,217.5,213.5,213.5,2.159859542,220.47
NDGL,418,123,123,123,0.007337942,224.79
NDL,120.1,131.7,118.85,118.85,0.69484319,224.1
NDTV,68.05,69,68,68,0.330118999,224.9
NECCLTD,50.95,55,52.1,52.1,3.571504905,224.18
NECLIFE,36.75,39.35,36.7,36.7,1.512039736,225.38
NELCAST,62.25,63.5,61.9,61.9,0.465188315,227.37
NELCO,86.25,87.15,84,84,0.714718997,223.91
NESCO,2571.95,2580,2550,2550,1.101732906,223.83
NESTLEIND,6920.35,6984.5,6880,6880,22.45043591,218.31
NET4,533.65,123,123,123,0.000299269,220.01
NETWORK18,50.75,52.75,49.65,49.65,1.682633387,214.94
NEULANDLAB,1357.2,1370,1320,1320,3.516808836,209.28
NEXTMEDIA,21.85,123,123,123,0.354471188,208.94
NFL,86.95,89.4,87,87,12.27431221,209.93
NH,312.05,315,305.1,305.1,1.903104832,205.75
NHPC,31.1,31.35,31.05,31.05,28.69478527,202.38
NIBL,36.55,123,123,123,0.043422649,197.38
NICCO,0.45,123,123,123,0.000252362,198.23
NIFTYEES,533.65,123,123,123,0.007607387,200
NIITLTD,84.5,85.9,82.5,82.5,5.710006258,202.34
NIITTECH,527.3,531,512.1,512.1,9.465688045,201.86
NILAINFRA,17.4,123,123,123,1.223743001,201.63
NILKAMAL,2220.6,2264.9,2210.4,2210.4,24.17970933,204.19
NIPPOBATRY,916.45,123,123,123,0.129039315,201.94
NITCO,69.85,72.2,68.1,68.1,0.510805633,198.11
NITESHEST,10.7,123,123,123,0.417723152,194.88
NITINFIRE,23.1,23.45,22.75,22.75,3.034882614,195.89
NITINSPIN,135.6,136.5,132.15,132.15,2.152563967,196.42
NKIND,38.9,123,123,123,0.002147201,195.69
NLCINDIA,106.35,123,123,123,1.999224065,192.63
NMDC,125.95,127.05,123.8,123.8,53.78840361,196.73
NOCIL,109.75,110.3,106.9,106.9,9.793894727,195.17
NOIDATOLL,12.2,123,123,123,0.317242563,195.91
NORBTEAEXP,6,123,123,123,0.000551789,192.37
NRAIL,324.2,123,123,123,123,201.08
NRBBEARING,118.05,123,123,123,0.388347145,204.93
NSIL,920.55,123,123,123,0.034415568,206.85
NTL,4.95,123,123,123,0.050133588,205.95
NTPC,162.2,162.45,160.45,160.45,82.61693832,202.51
NUCLEUS,332.95,335.2,325.65,325.65,4.974799706,206.78
NUTEK,0.7,123,123,123,0.006396815,212.08
OBEROIRLTY,411.65,414.9,407.05,407.05,6.331239798,214.91
OCCL,981.3,123,123,123,0.39133774,208.33
OCL,1099.05,1245,1112,1112,0.848114273,210.93
OFSS,3754.45,3784,3754.45,3754.45,16.5093565,210.11
OIL,324.7,326.9,317,317,24.68140836,207.87
OILCOUNTUB,51.6,123,123,123,0.745517339,209.19
OISL,5.95,123,123,123,0.216098415,212.8
OMAXAUTO,83.75,123,123,123,0.155159555,210.3
OMAXE,202.15,203.3,199.95,199.95,6.463378123,211.75
OMKARCHEM,198.9,200.9,195,195,3.183082216,214.38
OMMETALS,51.3,123,123,123,0.148893137,214.6
ONELIFECAP,24.3,123,123,123,0.025473198,213.43
ONGC,187.95,190.25,184,184,142.8117736,213.13
ONMOBILE,82.7,83.75,82.5,82.5,2.95990271,208.83
ONWARDTEC,86,123,123,123,0.104718926,212.63
OPTOCIRCUI,10.15,10.25,10.1,10.1,1.168437218,211.72
ORBITCORP,4.4,123,123,123,0.08926556,203.55
ORBTEXP,130.1,123,123,123,0.773010703,201.2
ORCHIDPHAR,34,34.75,33.95,33.95,0.883556784,199.44
ORICONENT,58.9,61,58.75,58.75,0.677181514,196.05
ORIENTABRA,38,123,123,123,0.188752039,193.17
ORIENTALTL,13.75,123,123,123,0.021223218,194.26
ORIENTBANK,173.15,177.85,173,173,35.77255252,195.1
ORIENTBELL,229.35,235,228.55,228.55,0.150201697,195.83
ORIENTCEM,164.75,166,164.45,164.45,3.86377743,195.37
ORIENTHOT,40.9,123,123,123,0.182906272,197.78
ORIENTLTD,72.6,123,123,123,0.00603803,199.5
ORIENTPPR,91.05,92.45,89.1,89.1,2.076646186,191.28
ORIENTREF,143.75,123,123,123,0.900330136,189.36
ORISSAMINE,2099.4,2126.2,2083.65,2083.65,1.939453555,193.32
ORTEL,108.85,123,123,123,0.068387823,199.7
ORTINLABSS,19.7,123,123,123,0.05207371,197.42
PAEL,13,123,123,123,0.0370885,198.96
PAGEIND,14790.2,14928,14700.05,14700.05,13.1295894,202.24
PALREDTEC,140,123,123,123,0.05,201.11
PANACEABIO,153.9,157.4,154.55,154.55,3.204496579,199.22
PANAMAPET,150.2,154,149.15,149.15,1.18223399,205.4
PANORAMUNI,11.8,123,123,123,0.021959305,205.33
PAPERPROD,269.85,123,123,123,0.389598143,203
PARABDRUGS,8.2,123,123,123,0.056635232,199.15
PARACABLES,3.7,123,123,123,0.025864791,204.61
PARAGMILK,249.65,252.5,245.5,245.5,7.118008088,206.54
PARRYSUGAR,63,123,123,123,0.487967654,206.08
PARSVNATH,15.8,123,123,123,0.220397263,205.48
PATELENG,97.8,98.2,95.55,95.55,3.772915647,202.87
PATINTLOG,89.55,90.5,88.75,88.75,0.492205248,203.14
PATSPINLTD,22.05,22.3,21.6,21.6,0.056651491,204.56
PBAINFRA,24.85,123,123,123,0.166102801,201.02
PCJEWELLER,449.25,452.7,432.45,432.45,19.71661892,196.94
PDMJEPAPER,25.85,26.5,25.4,25.4,0.064737474,192.51
PDPL,26.8,123,123,123,0.129721532,192.4
PDSMFL,207,209,204,204,0.067843877,190.73
PDUMJEIND,13.15,123,123,123,0.010100121,187.85
PDUMJEPULP,25.4,123,123,123,0.052911977,189.8
PEARLPOLY,38,0,0,0,0.195028261,196.06
PEL,2526.75,2565,2512.05,2512.05,16.45801219,195
PENIND,48.85,49.45,48.75,48.75,0.903372609,197.71
PENINLAND,23.95,123,123,123,0.430992116,201.66
PENPEBS,148.35,123,123,123,0.198794383,203.67
PERSISTENT,584.1,587,580.25,580.25,4.243710372,205.7
PETRONENGG,175.85,123,123,123,0.20603297,204.7
PETRONET,433.3,443,434.5,434.5,69.72621816,199.52
PFC,166.35,166.45,160.35,160.35,64.14828164,200.6
PFIZER,1722.3,1733.95,1705,1705,1.564448775,187.85
PFOCUS,111.65,114.6,110.3,110.3,0.55091742,189.35
PFS,48.25,49.5,48.05,48.05,3.850228705,189.63
PGEL,180.3,182,178.05,178.05,2.183326766,192.25
PGHH,7913.4,8049,7905,7905,4.095824034,190.63
PGIL,131.7,123,123,123,0.059449447,191.02
PHILIPCARB,452.35,454.8,444,444,6.312013885,188.97
PHOENIXLL,175.2,123,123,123,0.219374334,190.66
PHOENIXLTD,412.3,433.4,411.8,411.8,1.995709165,189.76
PIDILITIND,746.55,748.9,742,742,28.85869898,187.74
PIIND,844.05,872,845,845,20.00206818,186.2
PILANIINVS,2364,123,123,123,0.188717762,181.41
PILITA,20,123,123,123,0.109530849,185.35
PINCON,72.85,74.25,72.25,72.25,3.225536963,186.13
PIONDIST,136.65,123,123,123,0.160970988,186.73
PIONEEREMB,49.2,123,123,123,0.962817933,183.87
PIRPHYTO,80.25,0,0,0,0.220980686,182.01
PITTILAM,61.85,123,123,123,0.588104713,187.2
PKTEA,158.2,123,123,123,0.019105212,185.4
PLASTIBLEN,517,123,123,123,0.204592455,185.19
PNB,172.15,176.2,172,172,128.2122759,184.29
PNBGILTS,57,59.85,56.7,56.7,6.045259879,185.83
PNBHOUSING,1332.35,1355.9,1276.6,1276.6,29.40266513,181.98
PNC,28.15,123,123,123,0.19925493,177.99
PNCINFRA,162.2,163.7,158,158,2.434013585,174.04
PNEUMATIC,1580,123,123,123,0.044360976,170.83
POCHIRAJU,7.55,123,123,123,0.011765947,172.91
PODDARHOUS,1095.55,123,123,123,123,172.06
PODDARMENT,259.3,123,123,123,0.196569692,172.78
POKARNA,1516.7,1544.95,1495.4,1495.4,2.297694534,172.98
POLARIS,211.95,212.75,207.6,207.6,3.024196,167.28
POLYMED,257.65,255.05,245,245,0.861680962,166.44
POLYPLEX,480.5,484.4,475.65,475.65,0.880947044,164.62
PONNIERODE,199.5,204,194.05,194.05,0.333985243,167.99
POWERGRID,210.5,211.5,209.05,209.05,107.9094518,168.16
POWERMECH,609.05,623.35,600.1,600.1,0.783379545,172.27
PPAP,287.3,319.95,289.85,289.85,0.683747123,168.75
PRABHAT,123.55,124.95,121.1,121.1,4.370956843,168.92
PRADIP,2.2,123,123,123,0.00071779,169.46
PRAENG,14.7,123,123,123,0.071538578,170.12
PRAJIND,85.6,85.9,84.2,84.2,3.396166126,167.65
PRAKASH,91.85,94.8,92.05,92.05,8.689598932,164.98
PRAKASHCON,4.25,4.3,4.1,4.1,0.395181725,162.75
PRAKASHSTL,1.25,123,123,123,0.064777082,161.63
PRATIBHA,11.85,12.15,11.75,11.75,0.656166338,163.55
PRECAM,134.8,123,123,123,0.291233189,167.94
PRECOT,80.65,123,123,123,0.048766403,166.65
PRECWIRE,139.35,123,123,123,0.154663048,162.55
PREMEXPLN,425.1,123,123,123,0.290831632,163.69
PREMIER,32.85,123,123,123,0.056169823,165.66
PREMIERPOL,28.5,123,123,123,0.002518557,165.49
PRESSMN,71.1,72.45,70.65,70.65,0.8453674,165.58
PRESTIGE,242.55,250.05,242.55,242.55,4.081870788,165.75
PRICOLLTD,84,123,123,123,2.303969843,164.93
PRIMESECU,38.25,38.25,37,37,0.279146491,165.21
PRISMCEM,121.8,122.8,120.8,120.8,3.213867478,162.99
PROVOGE,4.65,123,123,123,0.028513619,161.7
PROZONINTU,44.75,123,123,123,0.764306946,158.9
PSB,66.75,67.3,66.15,66.15,0.812658343,158.88
PSL,5.8,123,123,123,0.053154206,160.17
PSUBNKBEES,412.19,123,123,123,0.068393892,156.95
PTC,103.2,103.95,101.3,101.3,16.26034013,156.63
PTL,49.1,123,123,123,0.306944525,157.79
PUNJABCHEM,286.95,123,123,123,0.929327922,153.29
PUNJLLOYD,24.75,25.35,24.4,24.4,1.872742555,153.27
PURVA,66.55,68,66.05,66.05,0.382839584,149.08
PVP,5.4,123,123,123,0.049711432,145.76
PVR,1542.45,1562.65,1538.5,1538.5,23.68322795,145.04
QUESS,879,898,855,855,6.035561062,142.03
QUICKHEAL,242.55,245.5,242,242,9.820564505,139.54
QUINTEGRA,123,123,123,123,0.000079465,136.34
RADAAN,1.45,123,123,123,0.000396662,137.76
RADICO,124.35,129.9,123.8,123.8,8.657154234,135.92
RADIOCITY,344.45,123,123,123,123,138.48
RAIN,106.3,108.8,105.5,105.5,14.8247309,138.7
RAINBOWPAP,4.35,123,123,123,0.174357604,141.25
RAIREKMOH,68.35,123,123,123,0.172837703,143.5
RAJESHEXPO,626.2,631.5,626.4,626.4,17.43790369,142.58
RAJOIL,1.8,123,123,123,0.020470614,143.46
RAJRAYON,0.25,123,123,123,0.002369938,139.79
RAJSREESUG,63.95,123,123,123,0.643488023,135.75
RAJTV,63.4,123,123,123,0.415158274,135.42
RALLIS,247.95,252.15,244.2,244.2,6.973605455,136.4
RAMANEWS,30.7,123,123,123,0.40635776,140.67
RAMASTEEL,159.9,160.45,157.7,157.7,0.600102212,138.07
RAMCOCEM,716.55,725,714,714,14.1357726,136.11
RAMCOIND,230.3,247.9,230,230,3.458139916,136.67
RAMCOSYS,385.1,403.55,383.5,383.5,7.023604181,136.66
RAMKY,108.8,110.9,104.7,104.7,0.524545865,136.01
RAMSARUP,2.3,123,123,123,0.000999662,138.81
RANASUG,9.95,10.1,9.95,9.95,2.388052698,139.55
RANEENGINE,629.05,123,123,123,0.163915128,142.28
RANEHOLDIN,1019.95,1038.5,1006,1006,0.550395635,143.81
RASOYPR,0.2,123,123,123,0.027245725,143.82
RATNAMANI,795.8,804.85,793,793,3.75292929,145.31
RAYMOND,769.25,775,763.5,763.5,23.78023355,140.13
RBL,993.7,1075,999.8,999.8,2.857708176,140
RBLBANK,561.95,569,560.6,560.6,61.33123514,138.99
RCF,96.8,97.8,94.1,94.1,14.91831246,136.47
RCOM,33.1,33.35,32.7,32.7,69.20101643,135.39
RDEL,67.3,68.9,67.25,67.25,9.384390391,133.45
RECLTD,218.5,219.9,212,212,89.76023598,131.78
REDINGTON,128.4,130,126.85,126.85,3.522198702,124.76
REFEX,19,123,123,123,0.045931907,124.05
REGENCERAM,9.05,123,123,123,0.001584029,125.15
REIAGROLTD,0.35,123,123,123,0.041896241,127.63
RELAXO,492.95,123,123,123,0.963742034,126.82
RELCAPITAL,685.25,689.2,671.95,671.95,112.3883545,123.73
RELDIVOPP,25.69,123,123,123,0.004437161,122.32
RELIANCE,1359.1,1369.75,1351.65,1351.65,574.3857441,119.78
RELIGARE,185.2,187.1,182.5,182.5,1.481251579,123.21
RELINFRA,594.6,602.9,586.2,586.2,94.18760948,129.56
REMSONSIND,53.45,123,123,123,0.051173128,127.37
RENUKA,14.55,14.8,14.5,14.5,4.645752471,129.04
REPCOHOME,758.95,759.4,748.2,748.2,9.189771627,132.33
REPRO,487.85,123,123,123,0.210836922,133.33
RESPONIND,88.7,89.7,88.15,88.15,2.919671937,131.75
REVATHI,947.15,965.9,937.95,937.95,0.156841643,128.24
RICOAUTO,59.5,60.85,59.05,59.05,2.081144255,125.8
RIIL,500.35,503.8,492.85,492.85,19.20611191,126.22
RJL,160.3,163,160.1,160.1,0.240558243,124.85
RKDL,11.15,123,123,123,0.050973448,123.35
RKFORGE,482.55,490.05,482,482,1.443633377,122.9
RMCL,34.5,0,0,0,1.854734019,124.64
RML,474.7,498,467.5,467.5,0.363236704,126.62
ROHITFERRO,5.95,123,123,123,0.029154136,122.63
ROHLTD,112.5,112.05,109.1,109.1,0.444668945,118.89
ROLLT,8.95,123,123,123,0.863302056,121.73
ROLTA,60.2,61.05,60.2,60.2,5.498171039,121.18
ROSSELLIND,116.35,123,123,123,0.173939036,119.19
RPGLIFE,384.7,412.95,384,384,2.706448932,117.2
RPOWER,47.7,48.05,47.15,47.15,11.18719224,119.57
RPPINFRA,279.8,281.95,278,278,10.92776521,120.01
RSSOFTWARE,82.65,83.25,81.5,81.5,6.058912305,118.42
RSWM,427.55,432.95,420.5,420.5,0.787504807,115.43
RSYSTEMS,48.25,123,123,123,0.370979564,116.53
RTNINFRA,3.85,123,123,123,0.159435592,114.94
RTNPOWER,8.6,8.75,8.4,8.4,1.476960402,114.19
RUBYMILLS,401.5,410.75,397,397,0.224324734,110.14
RUCHINFRA,3.3,123,123,123,0.006668172,104.09
RUCHIRA,168.6,171.7,167.1,167.1,1.364034157,105.45
RUCHISOYA,25.85,26.4,25.75,25.75,3.668679092,104.51
RUPA,380.05,400.6,380,380,0.739961948,108.23
RUSHIL,713,723,710.05,710.05,12.38399648,107.83
SABEVENTS,46.4,123,123,123,0.029093209,107.58
SABTN,236.5,123,123,123,0.810904231,106.36
SADBHAV,338.25,350,340.05,340.05,2.574037241,102.71
SADBHIN,106.9,111.3,106.05,106.05,0.251941119,102.09
SAGCEM,824.2,830,812.3,812.3,0.519738133,101.85
SAIL,61.1,61.85,61.05,61.05,36.67879666,99.91
SAKHTISUG,33.5,33.75,33,33,1.604249797,95.24
SAKSOFT,236,239.75,234.95,234.95,2.17496481,96.53
SAKUMA,65.2,65.2,59.05,59.05,0.240132607,96.3
SALONA,59.8,59.05,210.8,210.8,0.04,92.9
SALORAINTL,59.05,210.8,311.3,311.3,0.069204484,89.81
SALSTEEL,6.95,59.05,210.8,210.8,0.036244027,84.87
SALZERELEC,210.8,212.75,209.2,209.2,0.704392162,84.18
SAMBHAAV,7.3,210.8,59.05,59.05,0.022894505,88.34
SANCO,117.25,959.3,266.6,266.6,0.52462661,90.46
SANDESH,959.3,311.3,311.3,311.3,0.229447074,90.18
SANGAMIND,311.3,313.75,306,306,1.216984206,88.93
SANGHIIND,79.75,85.75,79.8,79.8,1.681568381,88.12
SANGHVIFOR,42.6,266.6,266.6,266.6,0.028318049,87.93
SANGHVIMOV,266.6,269.9,262.4,262.4,1.123772907,92
SANOFI,4230.95,4220.95,4192,4192,4.534953149,89.86
SANWARIA,15.4,15.85,15.2,15.2,0.441073663,87.45
SARDAEN,254,267.45,253.55,253.55,1.834838863,91.65
SAREGAMA,251.3,256.65,250.5,250.5,0.674255295,89.4
SARLAPOLY,61.45,365.4,123,123,0.223156625,93.37
SASKEN,412.3,418,410.85,410.85,0.538644272,95.05
SASTASUNDR,148.15,177.95,365.4,365.4,0.9,96.87
SATHAISPAT,54.55,365.4,365.4,365.4,0.183746618,98.99
SATIN,365.4,371,363.15,363.15,5.39004214,95.83
SBIN,294.45,299,294.45,294.45,346.9286675,96.37
SCHNEIDER,150.95,152.15,149.1,149.1,0.96960978,101.33
SCI,79.8,80.65,78.5,78.5,3.685415499,100
SDBL,152.95,177.95,123,123,0.307771351,97.02
SEAMECLTD,126.2,12.3,123,123,0.635571813,92.77
SEINV,177.95,177.95,123,123,0.012106047,93.22
SELAN,177.4,179.7,177.5,177.5,1.920247799,91.92
SELMCL,3.7,15.4,123,123,0.073156143,89.1
SEPOWER,12.3,12.3,123,123,0.034876082,92.6
SEQUENT,123.5,125.2,123.6,123.6,0.790198844,93.09
SERVALL,3.35,15.4,123,123,0.001072091,92.12
SESHAPAPER,785.25,15.4,123,123,0.809887573,90.19
SETCO,41.2,18.85,123,123,0.228242214,88.86
SEZAL,5.95,15.4,123,123,0.007514127,86.82
SFL,1364.5,1364,1265,1265,2.946060278,88.04
SGL,15.4,18.85,123,123,0.049340725,79.39
SHAHALLOYS,18.85,28.85,123,123,0.038171125,81.93
SHAKTIPUMP,268.7,274,266.8,266.8,1.654246733,84.3
SHALPAINTS,227.75,233.95,223.45,223.45,0.985042153,80.57
SHANKARA,726.45,28.85,123,123,123,86.24
SHANTIGEAR,130.7,131.5,129.65,129.65,0.313185465,88.24
SHARDACROP,535.8,542,531.2,531.2,1.823237843,90.46
SHARDAMOTR,1831,1925.6,1825.05,1825.05,0.404518935,93.21
SHARIABEES,225,28.85,123,123,0.018722889,90.43
SHARONBIO,7.25,28.85,123,123,0.121150796,91.81
SHEMAROO,361.6,369.8,345.55,345.55,1.128939641,95.95
SHILPAMED,695.35,698.8,693.1,693.1,3.854511914,93.17
SHILPI,75,71.25,71.25,71.25,7.823365427,85.88
SHIRPUR-G,114.05,115,113,113,0.154534778,85.97
SHIVAMAUTO,57.65,28.85,123,123,0.491701413,87.42
SHIVTEX,336.35,346,331,331,0.333987299,86.52
SHK,315.25,318,313.6,313.6,4.464942104,86.64
SHOPERSTOP,359.2,28.85,123,123,1.452893189,86.14
SHREECEM,19594.2,20401.15,19455.25,19455.25,23.32682948,86.87
SHREEPUSHK,207.15,211,207,207,3.132719502,90.02
SHREERAMA,15.8,28.85,123,123,0.0663033,89.94
SHREYANIND,202.7,206.8,196.3,196.3,0.512214056,89.31
SHREYAS,361,365,355,355,1.837073758,91.03
SHRIPISTON,1203,28.85,123,123,0.014316137,93.98
SHRIRAMCIT,2105.4,2134.2,2091.2,2091.2,10.14457137,95.99
SHRIRAMEPC,26.7,163.45,123,123,0.34786883,92.8
SHYAMCENT,8.95,28.85,123,123,0.01847429,97.35
SHYAMTEL,28.85,28.85,123,123,0.047980082,97.87
SICAGEN,41.9,163.45,123,123,0.15767927,98.04
SICAL,270.85,286,271,271,2.751507867,97.28
SIEMENS,1462.9,1448.4,1401,1401,26.56738791,90.35
SIGNET,11.75,12,11.8,11.8,1.436917317,94.43
SIL,25.2,163.45,123,123,0.027463387,89.4
SILINV,186.8,223.9,186.3,186.3,0.107087456,90.03
SIMBHALS,34.2,163.45,123,123,0.375352644,91.3
SIMPLEX,35.5,0,0,0,0.266841726,94.7
SIMPLEXINF,409.7,414.45,407.3,407.3,0.881459708,89.92
SINTEX,115.05,115.9,113.4,113.4,44.30526385,94.63
SITASHREE,6.3,163.45,123,123,0.046888675,85.21
SITINET,31.8,163.45,123,123,0.8,81.93
SIYSIL,1696.35,1735,1681.05,1681.05,0.734248446,85.24
SJVN,33.2,33.75,32.1,32.1,3.290050507,89.44
