timestamp,open,high,low,close,volume
2018-10-19 16:00:00,108.8900,108.8900,108.5400,108.5400,4370394
2018-10-19 15:55:00,108.9900,109.2350,108.9000,108.9000,957360
2018-10-19 15:50:00,109.0800,109.1850,108.9101,109.0300,417687
2018-10-19 15:45:00,109.0000,109.1000,108.9100,109.0800,285250
2018-10-19 15:40:00,109.0700,109.2700,108.9900,109.0100,381558
2018-10-19 15:35:00,109.1200,109.2200,108.9800,109.0700,346795
2018-10-19 15:30:00,108.7102,109.1900,108.7102,109.1200,739378
2018-10-19 15:25:00,108.8100,108.9100,108.6700,108.7200,203460
2018-10-19 15:20:00,108.6300,108.8600,108.5100,108.8400,348219
2018-10-19 15:15:00,108.7100,108.8300,108.5600,108.6300,229444
2018-10-19 15:10:00,108.6700,108.7600,108.6100,108.7200,229007
2018-10-19 15:05:00,108.6800,108.7900,108.5900,108.6800,270710
2018-10-19 15:00:00,108.8400,108.8800,108.6400,108.6800,186664
2018-10-19 14:55:00,108.9800,109.0600,108.8100,108.8600,174213
2018-10-19 14:50:00,108.6650,109.0300,108.6650,108.9900,269109
2018-10-19 14:45:00,108.7700,108.8300,108.6300,108.6700,186303
2018-10-19 14:40:00,108.6900,108.9300,108.6800,108.7700,215598
2018-10-19 14:35:00,108.8100,108.9200,108.6300,108.6500,252136
2018-10-19 14:30:00,108.9600,109.0200,108.7800,108.7800,148927
2018-10-19 14:25:00,108.5800,108.9900,108.4800,108.9500,352744
2018-10-19 14:20:00,108.6600,108.6700,108.4800,108.5900,193035
2018-10-19 14:15:00,108.5400,108.7300,108.4869,108.6600,223188
2018-10-19 14:10:00,108.5400,108.6300,108.2200,108.5350,435717
2018-10-19 14:05:00,108.7600,108.8500,108.5100,108.5300,276594
2018-10-19 14:00:00,108.8800,108.9100,108.7600,108.8054,152801
2018-10-19 13:55:00,108.9800,108.9894,108.8350,108.8725,142832
2018-10-19 13:50:00,108.9350,109.0100,108.8700,108.9700,172071
2018-10-19 13:45:00,109.1034,109.1900,108.8800,108.9500,244089
2018-10-19 13:40:00,109.2200,109.2200,109.0900,109.1250,131599
2018-10-19 13:35:00,109.2800,109.3700,109.1550,109.2200,280724
2018-10-19 13:30:00,109.1900,109.3200,109.1000,109.2900,198554
2018-10-19 13:25:00,109.1600,109.2100,109.0673,109.2100,163982
2018-10-19 13:20:00,109.0700,109.2800,109.0300,109.1450,277572
2018-10-19 13:15:00,108.6420,109.1000,108.6420,109.0400,280280
2018-10-19 13:10:00,108.8300,108.8800,108.5300,108.6300,212964
2018-10-19 13:05:00,109.0900,109.0900,108.7300,108.8400,229821
2018-10-19 13:00:00,109.1000,109.2100,109.0400,109.1200,254535
2018-10-19 12:55:00,108.8500,109.1500,108.6758,109.1200,284601
2018-10-19 12:50:00,108.6400,108.9200,108.6400,108.8900,347876
2018-10-19 12:45:00,108.5900,108.6969,108.3900,108.6100,394744
2018-10-19 12:40:00,108.5500,108.6700,108.3800,108.6000,442921
2018-10-19 12:35:00,108.9000,108.9300,108.4900,108.4900,406494
2018-10-19 12:30:00,109.0300,109.0300,108.8155,108.9250,383657
